YeshuvName,MunicipalName,total
אובנת ,מועצה אזורית מגילות ים המלח ,318
נעלה ,מועצה אזורית מטה בנימין ,2980
טלמון ,מועצה אזורית מטה בנימין ,6336
נופים ,מועצה אזורית שומרון ,1580
צופים ,מועצה אזורית שומרון ,2984
אבני חפץ ,מועצה אזורית שומרון ,2717
בת עין ,מועצה אזורית גוש עציון ,2083
רבבה ,מועצה אזורית שומרון ,3369
כפר האורנים ,מועצה אזורית מטה בנימין ,2353
מודיעין עילית , ,92263
תל ציון ,מועצה אזורית מטה בנימין ,7531
רחלים ,מועצה אזורית שומרון ,1319
גני מודיעין ,מועצה אזורית מטה בנימין ,3710
עמיחי ,מועצה אזורית מטה בנימין ,407
מבואות יריחו ,מועצה אזורית ערבות הירדן ,409
שער מועצה אזורית שומרון , ,9019
עשהאל ,מועצה אזורית הר חברון ,166
גבעות הרואה ,מועצה אזורית מטה בנימין ,127
בית חוגלה ,מועצה אזורית מגילות ים המלח ,510
שחרית ,מועצה אזורית שומרון ,21
אביגיל ,מועצה אזורית הר חברון ,154
חרשה ,מועצה אזורית מטה בנימין ,5
מגרון ,מועצה אזורית מטה בנימין ,9
שבות רחל ,מועצה אזורית מטה בנימין ,8
טל מועצה אזורית מנשה ,מועצה אזורית שומרון ,11
אחיה ,מועצה אזורית מטה בנימין ,4
כרם רעים ,מועצה אזורית מטה בנימין ,9
איבי הנחל ,מועצה אזורית גוש עציון ,3
אדוריים ,מועצה אזורית הר חברון ,28
חיפה , ,342662
בוקעאתא , ,7141
אלי-עד ,מועצה אזורית גולן ,594
אל-רום ,מועצה אזורית גולן ,615
כפר חרוב ,מועצה אזורית גולן ,635
חספין ,מועצה אזורית גולן ,1789
קשת ,מועצה אזורית גולן ,960
יונתן ,מועצה אזורית גולן ,941
מעלה גמלא ,מועצה אזורית גולן ,698
שעל ,מועצה אזורית גולן ,446
אודם ,מועצה אזורית גולן ,274
אבני איתן ,מועצה אזורית גולן ,1049
אניעם ,מועצה אזורית גולן ,590
אורטל ,מועצה אזורית גולן ,403
נטור ,מועצה אזורית גולן ,702
בני יהודה ,מועצה אזורית גולן ,1350
אלוני הבשן ,מועצה אזורית גולן ,570
מיצר ,מועצה אזורית גולן ,347
גבעת מועצה אזורית יואב ,מועצה אזורית גולן ,804
גשור ,מועצה אזורית גולן ,425
קלע ,מועצה אזורית גולן ,487
קדמת צבי ,מועצה אזורית גולן ,797
חד-נס ,מועצה אזורית גולן ,936
כנף ,מועצה אזורית גולן ,543
רמת הנשיא טראמפ ,מועצה אזורית גולן ,124
נמרוד ,מועצה אזורית גולן ,24
קצרין , ,9548
מרום מועצה אזורית גולן ,מועצה אזורית גולן ,863
מג'דל שמס , ,11972
מסעדה , ,4337
מבוא חמה ,מועצה אזורית גולן ,660
אפיק ,מועצה אזורית גולן ,462
"נווה אטי""ב ",מועצה אזורית גולן ,247
נוב ,מועצה אזורית גולן ,1179
ע'ג'ר , ,2980
עין קנייא , ,2596
עין זיוון ,מועצה אזורית גולן ,569
נאות מועצה אזורית גולן ,מועצה אזורית גולן ,796
רמת מגשימים ,מועצה אזורית גולן ,893
רמות ,מועצה אזורית גולן ,702
תל אביב יפו , ,596251
באקה אל-גרביה , ,32775
בני ברק , ,239866
בת ים , ,160621
גבעתיים , ,65828
הרצליה , ,126677
חדרה , ,114781
חולון , ,211962
טבריה , ,56537
קרית אתא , ,67539
כפר סבא , ,111836
לוד , ,99227
אשקלון , ,184645
נס ציונה , ,49497
נצרת , ,82082
נתניה , ,286545
סח'נין , ,35923
עכו , ,60524
עפולה , ,71652
פרדס חנה-כרכור , ,50596
פתח תקווה , ,283200
צפת , ,41868
קרית מוצקין , ,56381
ראשון לציון , ,287909
רחובות , ,166596
רמלה , ,88914
רמת גן , ,189292
רעננה , ,100141
שפרעם , ,44641
טמרה , ,37764
באר שבע , ,232624
נהריה , ,78780
בית שאן , ,21747
זכרון יעקב , ,27124
יהוד-מונוסון , ,33499
קרית ביאליק , ,51755
קרית ים , ,49670
הוד השרון , ,71208
בנימינה-גבעת עדה , ,17097
